宣传标语,楼盘链接,面积|m2,房型,楼盘描述,均价|元/m2,总价|万
新康花园，景观好，楼层好，超低市场价，好房不等人,http://guangzhou.anjuke.com/prop/view/A774965236,82,2室2厅,新康花园  [增城-新塘 广深大道108号],11951,82
柏涛雅苑，2室精装修正气超值，随时可看房,http://guangzhou.anjuke.com/prop/view/A772784602,78,2室2厅,柏涛雅苑  [海珠-昌岗路 礼岗路6号],38461,78
黄石路 升平楼 3室 方正实用 诚意出售,http://guangzhou.anjuke.com/prop/view/A771219232,102,3室1厅,升平楼  [白云-黄石 升平前街14-16号],13627,102
晓港湾 新装修大两房 东向安静不吵 近地铁 可做婚房,http://guangzhou.anjuke.com/prop/view/A764962870,67,2室2厅,晓港湾  [海珠-南洲 英华街67号],21641,67
利汇名悦大厦 省级学校一房一厅 配套成熟近地铁,http://guangzhou.anjuke.com/prop/view/A754540216,57,1室1厅,邦华名悦大厦  [天河-珠江新城 华成路2号],70212,57
五羊新城 寺右新马路25号大院 八一 加装电梯,http://guangzhou.anjuke.com/prop/view/A741673390,73,3室2厅,寺右新马路小区  [越秀-五羊新城 寺右新马路],47945,73
山水庭苑 学区房 近地铁 市中心房绿化率高得房率高楼层佳,http://guangzhou.anjuke.com/prop/view/A737985874,307,4室2厅,山水庭苑  [白云-南湖 同和路828号],24690,307
万达广场旁，双地铁环绕，成熟商圈，带省级学位，不限购可入户,http://guangzhou.anjuke.com/prop/view/A777416485,96,3室2厅,御江南  [广州周边-广州周边 金泉大道3号],9583,96
曾经的梦想，如今的好房，只要420万元，值得拥有,http://guangzhou.anjuke.com/prop/view/A778008581,80,2室2厅,嘉和苑  [越秀-东风东 东风西路148号],52500,80
麒麟广场精装修不到80万，商住两用生活十分便捷不限购不限贷,http://guangzhou.anjuke.com/prop/view/A767645542,59,3室2厅,"麒麟广场(黄阁大道南)  [南沙-南沙 黄阁大道南,近宝田街]",13898,59
金碧翡翠华庭 恒大物业 龙口西小学 真正园林小区 华师,http://guangzhou.anjuke.com/prop/view/A762618046,83,2室2厅,金碧翡翠华庭  [天河-天河北 天润路467号],68402,83
广州雅居乐花园一尺山居 顶楼复式 景观好房 带超大露台,http://guangzhou.anjuke.com/prop/view/A781623810,170,4室2厅,广州雅居乐花园一尺山居(兴南大道398号)  [番禺-广州雅居乐花园 兴南大道398号],28823,170
华府一期230方+380方花园豪宅 有匙即看,http://guangzhou.anjuke.com/prop/view/A762720406,230,5室2厅,锦绣香江山水华府  [番禺-华南 华南干线迎宾路长隆夜间动物世界南侧],38260,230
广州雅居乐花园新地朝向：南北通透豪华装修,http://guangzhou.anjuke.com/prop/view/A778811877,136,4室2厅,广州雅居乐花园新地  [番禺-广州雅居乐花园 番禺南村镇兴南大道398号],32058,136
首付15万就可以买到省商业中心三房俩厅俩卫住宅,http://guangzhou.anjuke.com/prop/view/A777634940,112,3室2厅,都市经典(鹤峰路1号)  [广州周边-广州周边 鹤峰路1号],8928,112
小三房带装修望花园价格便宜,http://guangzhou.anjuke.com/prop/view/A764083146,99,3室2厅,翡翠绿洲湖绣苑（埔南路）  [增城-广园东 埔南路],24242,99
格局方正，双南设计，全明通透，豪华气派彰显无疑。,http://guangzhou.anjuke.com/prop/view/A729045106,114,3室2厅,"香江国际(工业大街)  [广州周边-广州周边 工业大街,近体育东路]",5964,114
东山口 稀有电梯楼 锦桦大厦单位放售,http://guangzhou.anjuke.com/prop/view/A778957735,109,3室2厅,锦华大厦  [越秀-东川路 东川路],55045,109
观望是没有结果的，该出手时就出手 这才是硬道理,http://guangzhou.anjuke.com/prop/view/A755316468,90,2室2厅,金泽豪庭  [增城-新塘 金泽路1号],21111,90
金湖翡翠谷别墅 靠山望湖 南向景观阳台 格局方正 全新未住,http://guangzhou.anjuke.com/prop/view/A769967222,201,5室2厅,金湖翡翠谷  [天河-沙太 沙太北路938号],39303,201
合景天峻价格真实 复式公寓 买一层送一层地铁旺村站年底通车,http://guangzhou.anjuke.com/prop/view/A780711778,41,2室2厅,合景天峻  [黄埔-黄埔区府 九龙大道],15121,41
富力广场S区御花园四房放盘 住家推介,http://guangzhou.anjuke.com/prop/view/A778700281,162,4室2厅,富力广场  [荔湾-中山八路 龙津西路313号],38271,162
机场路 万方园电梯1房 格局方正 通风采光 产权清晰 随时约,http://guangzhou.anjuke.com/prop/view/A760693717,44,1室,万方园  [白云-机场路 远景路],19545,44
海伦堡精致小两房 电梯中层景观好 带装修即时入住,http://guangzhou.anjuke.com/prop/view/A782167086,63,2室2厅,中颐海伦堡御院  [番禺-市桥南 南华路190号],23015,63
大石海滨花园 电梯复式 156平米280万 带露台 豪华装修,http://guangzhou.anjuke.com/prop/view/A772758752,156,4室2厅,上漖海滨花园  [番禺-大石 沿江路],17948,156
车耀荟商城 包租三年合约 保底1万月租 独立产权 坐拥收租,http://guangzhou.anjuke.com/prop/view/A779688588,10,1室1厅,永福路1号大院  [越秀-黄花岗 永福路],45000,10
豪利花园南向望花园学校就在家门口现南向仅售150万,http://guangzhou.anjuke.com/prop/view/A739556795,100,3室2厅,豪利花园  [花都-镜湖大道 镜湖大道18号],15000,100
保利花园朝南 稀 缺 2室，着 急 出 售,http://guangzhou.anjuke.com/prop/view/A755833878,80,2室2厅,保利花园  [海珠-工业大道南 工业大道中400号],34750,80
精美复式  交通便利  双*  佛山禅城中心,http://guangzhou.anjuke.com/prop/view/A755313033,40,2室2厅,"苹果公馆(影荫路)  [广州周边-广州周边 影荫路,近佛山大道]",13000,40
金名都 满两年88方 南向江景三房，没有笋的只有更笋的！,http://guangzhou.anjuke.com/prop/view/A765704235,88,3室1厅,金名都  [白云-金沙洲 彩滨北路体育公园前行100米],24431,88
"银业国际 豪华装修大一房 ,证满五年，不买就没了！",http://guangzhou.anjuke.com/prop/view/A777949202,51,1室1厅,银业国际  [海珠-广州大道南 海珠大道南859号],33333,51
祈福新村绿怡居 邻近公园 保养好,http://guangzhou.anjuke.com/prop/view/A745759094,50,2室1厅,祈福新邨绿怡居  [番禺-祈福 鸿福路],16000,50
远洋天骄 天河CBD罕有小户型住宅住宅 错过您一定会遗憾,http://guangzhou.anjuke.com/prop/view/A779072158,25,1室1厅,远洋天骄  [天河-沙太 天河区元岗街68号],40800,25
同福一小省级学位房 带装修两房 价格实惠拎包入住 有意速电,http://guangzhou.anjuke.com/prop/view/A743157076,63,2室2厅,同福中路小区  [海珠-宝岗 同福中路],25396,63
江南新苑，南北对流，厅大房大，高层急售，随时看房,http://guangzhou.anjuke.com/prop/view/A779009335,97,3室2厅,江南新苑  [海珠-新港西 新港西路20号],44329,97
笋到爆 万通国际 魁奇路地铁口 带精装修出售 世博广场旁,http://guangzhou.anjuke.com/prop/view/A749994900,28,1室1厅,万通国际  [广州周边-广州周边 佛山市禅城区魁奇路地铁站旁边],16178,28
星河湾荟心园 南北对流  保养新净  稀有放盘,http://guangzhou.anjuke.com/prop/view/A781937794,156,3室2厅,星河湾荟心园  [番禺-星河湾 沿江东路],27564,156
富力伯爵山团购一手楼免费专 车看房让您买房更省心更实惠,http://guangzhou.anjuke.com/prop/view/A782157077,81,2室2厅,富力伯爵山  [南沙-南沙 英东大道],15185,81
鹤山新华城 读省级学校可入户 独立大阳台,http://guangzhou.anjuke.com/prop/view/A782140043,120,3室2厅,鹤山新华城(鹤山大道)  [广州周边-广州周边 鹤山大道],7916,120
南浦 广州碧桂园复试东南向 仅售185万 性价比超高 源真照,http://guangzhou.anjuke.com/prop/view/A776185635,142,4室2厅,广州碧桂园  [番禺-南浦 南浦大道],17605,142
沙溪精工豪宅 珊瑚天峰192平精装三居室 南北对流 诚心出售,http://guangzhou.anjuke.com/prop/view/A782213602,192,3室2厅,珊瑚天峰  [番禺-大石 沙溪大道381号],31250,192
业主等钱用急卖 买到就是赚到 低于市场价20万,http://guangzhou.anjuke.com/prop/view/A782165318,124,4室2厅,祈福新邨海晴居  [番禺-祈福 福怡路],18387,124
富力顺意 大三房 东南向 近地铁 户型少,http://guangzhou.anjuke.com/prop/view/A755884403,125,3室2厅,富力顺意花园  [海珠-江燕路 江燕路288号],36000,125
荔湾广场 实用大两房 可改三房 通风采光好,http://guangzhou.anjuke.com/prop/view/A771615033,80,2室2厅,荔湾广场  [荔湾-西关 德星路9号],20625,80
克莱望江单位，视野开阔，性价比高，197方实用5房单位,http://guangzhou.anjuke.com/prop/view/A742331607,197,5室2厅,珠江帝景  [海珠-赤岗 艺洲路],44670,197
碧桂园凤凰城凤馨苑 正南向 高楼层 带入户花园,http://guangzhou.anjuke.com/prop/view/A779546860,99,3室2厅,碧桂园凤凰城凤馨苑  [增城-广园东 凤凰城大道],25252,99
南沙境界末期万中层 靠山 随时看房,http://guangzhou.anjuke.com/prop/view/A782104714,115,3室2厅,南沙境界  [南沙-南沙 凤凰大道],12000,115
康乐小区精装中层一房 即买即住证够五年 交通便利！,http://guangzhou.anjuke.com/prop/view/A779592162,42,1室1厅,康乐小区  [海珠-新港西 新港西路],18809,42
宝翠园二期大面积四房稀有放盘 豪华装修 南向,http://guangzhou.anjuke.com/prop/view/A738556612,144,4室2厅,宝翠园  [天河-龙洞 宝翠路4号],46527,144
地铁口 万科海上传奇 靠近江边 双钥匙 收租王之首,http://guangzhou.anjuke.com/prop/view/A775363600,34,2室2厅,"万科海上传奇(太和街)  [荔湾-芳村 太和街,近寺前街]",35294,34
金名都畅享品质生活 潜力价值 性价比超高的2室,http://guangzhou.anjuke.com/prop/view/A772977579,78,2室1厅,金名都  [白云-金沙洲 彩滨北路体育公园前行100米],23717,78
烈士陵园地铁附近 大三房东南靓向全明屋设计通风采光好 随时看,http://guangzhou.anjuke.com/prop/view/A781866413,81,3室2厅,中山三路小区  [越秀-东风东 中山三路与东濠涌高架],28395,81
广州雅居乐花园 买房送车位 送全屋家私家,http://guangzhou.anjuke.com/prop/view/A772970809,88,2室2厅,广州雅居乐花园一尺山居(兴南大道398号)  [番禺-广州雅居乐花园 兴南大道398号],33295,88
自由人花园  十五年教育 小区自带十万方大草原,http://guangzhou.anjuke.com/prop/view/A773894350,110,3室2厅,自由人花园  [花都-镜湖大道 广花路],16000,110
都市经典均安填中心学区房 商业广场旁，首付2成轻松做业主,http://guangzhou.anjuke.com/prop/view/A778768167,177,4室2厅,都市经典(鹤峰路1号)  [广州周边-广州周边 鹤峰路1号],7344,177
珊瑚天峰，精装修，，这里别具一格，应该有你想要的！,http://guangzhou.anjuke.com/prop/view/A782231167,190,4室2厅,珊瑚天峰  [番禺-大石 沙溪大道381号],30526,190
锦绣银湾 江景房 电梯高层,http://guangzhou.anjuke.com/prop/view/A782254711,125,3室2厅,锦绣银湾  [番禺-大石 朝阳东路423-425号],28000,125
一成首付！一线江景！地铁轻轨 ！省级学位 ！凯蓝滨江！,http://guangzhou.anjuke.com/prop/view/A773907628,95,3室2厅,凯蓝滨江名门  [广州周边-广州周边 东堤路和乐善北路交界],16842,95
富力万科云启  时尚明苑 地铁物业上盖 抢手房源 快快快,http://guangzhou.anjuke.com/prop/view/A782218511,19,2室2厅,富力万科云启  [天河-车陂 车陂北街],40000,19
南沙富力伯爵 自贸区万达广场核心地段 英伦建筑风格 带精装修,http://guangzhou.anjuke.com/prop/view/A781872829,76,2室2厅,富力伯爵山  [南沙-南沙 英东大道],12894,76
百脑汇106方大户型 纯南向三房住家户型 收租6500元,http://guangzhou.anjuke.com/prop/view/A781696150,106,3室1厅,百脑汇商住楼  [天河-岗顶 天河路596号],35849,106
剑桥郡洋房 豪装四房 南北对流 双阳台 北向望江,http://guangzhou.anjuke.com/prop/view/A771968562,209,4室2厅,雅居乐剑桥郡  [番禺-广州雅居乐花园 南大路],35885,209
家和天曜 奥体板块 五米层高44方2房豪装复式 市区独一无他,http://guangzhou.anjuke.com/prop/view/A775388225,44,2室2厅,家和天曜(珠吉路)  [天河-车陂 近珠吉路],31363,44
汇博广场 全新一手望江复试楼 送装修 阳台 可明火 商住两用,http://guangzhou.anjuke.com/prop/view/A775867430,65,1室1厅,汇博国际广场  [荔湾-芳村 禅城区南庄大道、隆庆大道及紫洞路交汇处],9230,65
保利西海岸 交通便利 户型方正 配套成熟,http://guangzhou.anjuke.com/prop/view/A773792960,96,3室2厅,保利西海岸江岸花园  [白云-金沙洲 彩滨北路],27083,96
汇信华府，南北对流，户型方正，邻近地铁,http://guangzhou.anjuke.com/prop/view/A778331666,90,3室2厅,汇信华府  [广州周边-广州周边 西青大道与北江大道交汇处],8333,90
千灯湖 富.人区 联海国际寓 金融高新区 复式 买一层送一层,http://guangzhou.anjuke.com/prop/view/A782046924,45,1室1厅,"联海国际寓峰(中央大街)  [广州周边-广州周边 中央大街,近宝翠北路]",12222,45
嘉多利 100*户型 正南北三房 无税 带深中 豪宅片区,http://shenzhen.anjuke.com/prop/view/A781905336,100,3室2厅,嘉多利花园北区  [罗湖-翠竹 文锦北路1052号],71000,100
光明1号， 双地铁物业 ，未来的宝安中心区！,http://shenzhen.anjuke.com/prop/view/A782197823,80,3室2厅,光明1号  [光明新区-光明 光明大道],34750,80
"双地铁口天虹商场旁吉大花园精装三房,业主诚心放卖,低于市场价",http://shenzhen.anjuke.com/prop/view/A750545290,121,3室2厅,吉大花园  [龙岗-布吉 中兴路25号],7685,121
08年优质小区，天宝物华精装一房，带空中花园，全小区仅此一套,http://shenzhen.anjuke.com/prop/view/A777746583,51,1室1厅,天宝物华  [福田-香蜜湖 丰田路3号],103921,51
缤纷时代 真实价格 真实图片 螺岭学位 花园泳池 随时看房,http://shenzhen.anjuke.com/prop/view/A778990861,42,1室1厅,缤纷时代家园  [罗湖-东门 东门中路],63333,42
中海九号公馆三期花园中间位别墅，双入户高赠送，诚意售随时看,http://shenzhen.anjuke.com/prop/view/A755377108,183,6室3厅,中海九号公馆  [宝安-西乡 龙辉路],94535,183
超笋盘 低于市场价 带精装修 送家私家电 交通便利 看房方便,http://shenzhen.anjuke.com/prop/view/A772714064,82,3室2厅,熊猫国际  [惠州-其他 新澳大道],7926,82
《华南城》给你在深圳安一个家！地铁口物业！买一层一层！带精装,http://shenzhen.anjuke.com/prop/view/A777432304,73,3室2厅,华南城  [龙岗-布吉 华南大道一号　],16164,73
深圳一步之隔 大型花园社区 配套完善 锦地繁花给您双城享受,http://shenzhen.anjuke.com/prop/view/A781732050,98,3室2厅,锦地繁花  [惠州-其他 大亚湾石化大道西333号],12755,98
惠阳火爆项目 两成首付  高扩展户型,http://shenzhen.anjuke.com/prop/view/A770412932,120,3室2厅,铂金广场(白云二路77号)  [惠州-惠阳 白云二路77号],12500,120
翡翠海岸南北通透4房带入户花园 一本证 地铁房,http://shenzhen.anjuke.com/prop/view/A763399483,177,4室2厅,翡翠海岸  [南山-后海 科苑大道],118724,177
风格名苑，舒适，视野开阔,http://shenzhen.anjuke.com/prop/view/A777955583,63,2室1厅,风格名苑  [罗湖-蔡屋围 红桂路1038号],53968,63
前海自贸区 中海阳光玫瑰园 精装两房 户型方正 直看自贸区,http://shenzhen.anjuke.com/prop/view/A777450453,48,2室1厅,阳光玫瑰园  [南山-前海 前海路],72749,48
绿海名都 精装南向大单房只要235万  高层视野开阔 地铁口,http://shenzhen.anjuke.com/prop/view/A777519814,40,1室,绿海名都  [南山-前海 学府路],59000,40
政策已经至此，房价逐渐回升，观望后悔莫及！,http://shenzhen.anjuke.com/prop/view/A773722873,63,2室2厅,翔名苑  [福田-景田 景田西路21号],77507,63
不发假房源红本在手，少量欠款满两年 租客在住白金酒店公寓租金,http://shenzhen.anjuke.com/prop/view/A760558087,37,2室1厅,白金酒店公寓  [宝安-新安 宝民一路96号],53083,37
石崖岭公园，配套成熟，证满五年，户型方正半岛苑,http://shenzhen.anjuke.com/prop/view/A765525740,72,2室2厅,半岛苑  [龙岗-布吉 布龙路],34027,72
首付60万买满两年红本在手豪装2房 百年名校华师附小学位,http://shenzhen.anjuke.com/prop/view/A764659609,79,2室2厅,THETOWN乐城  [龙岗-龙岗中心城 龙岗大道],40253,79
地铁口物业，龙岗新标杆，不限购不限贷,http://shenzhen.anjuke.com/prop/view/A777698057,63,3室2厅,"远洋新天地家园(盛龙路)  [龙岗-龙岗中心城 盛龙路,近碧新路]",36031,63
佳兆业城市广场一手精装新房，双地铁口，自带15万商业综合体,http://shenzhen.anjuke.com/prop/view/A778643314,120,4室2厅,佳兆业城市广场  [龙岗-坂田 坂李大道],51666,120
招商澜园 独立户型 业主诚心出售 精致装修,http://shenzhen.anjuke.com/prop/view/A760418548,89,3室2厅,招商澜园  [龙华-观澜 大和路],43258,89
港中旅一期 时代经典 人文大宅 名校荔园+深高 生活轻松惬意,http://shenzhen.anjuke.com/prop/view/A769882100,158,4室2厅,中旅国际公馆二期  [福田-香蜜湖 农园路],113924,158
坪山新区 正地铁口物业 户型方正 实用多多 代理看房方便,http://shenzhen.anjuke.com/prop/view/A772360430,100,4室2厅,"心海城(比亚迪路)  [坪山-坪山 比亚迪路,近坪环路]",29000,100
德意名居 七号线地铁口 厅出阳台 89平三房 满五年业主诚售,http://shenzhen.anjuke.com/prop/view/A766670345,89,3室2厅,德意名居一期  [南山-西丽 西丽路],61797,89
深圳一步之遥 漫步儿童公园 毗邻城市中心：万达广场,http://shenzhen.anjuke.com/prop/view/A761049543,39,1室2厅,和府御堡(龙山五路320号)  [惠州-惠阳 龙山五路320号],11038,39
曦湾天馥 96平3+1房 满两年 全新装修从未入住！,http://shenzhen.anjuke.com/prop/view/A780590799,96,4室2厅,曦湾天馥  [南山-蛇口 后海滨路],125000,96
汉京九榕台 因无价而追寻 媲美香港山顶豪宅 甄稀天际复式,http://shenzhen.anjuke.com/prop/view/A779466271,346,4室2厅,汉京九榕台  [南山-前海 观山道1号],158959,346
世纪春城精装大三房业主降价40万，露台改三房。户型方正,http://shenzhen.anjuke.com/prop/view/A776340948,69,3室2厅,世纪春城三期  [龙华-民治 民福路],40579,69
地铁口公寓，精装修，内部优~惠多，特~价活动，欢迎随时来电,http://shenzhen.anjuke.com/prop/view/A765020542,65,2室2厅,金地龙城中央  [龙岗-龙岗中心城 龙城大道],28923,65
可以改两房，单价3.4万，无税地铁口200M,http://shenzhen.anjuke.com/prop/view/A778075775,42,1室1厅,祥青苑  [罗湖-泥岗 泥岗西路1018号],34047,42
换房必看 山居岁月{珍藏户型 享受天然气氧吧}南山双实验急售,http://shenzhen.anjuke.com/prop/view/A779573363,108,3室2厅,山居岁月  [南山-前海 沿湖路8号],64814,108
《皇牌代理》西海湾花园 南向豪华三房 无税看房方便价格可谈,http://shenzhen.anjuke.com/prop/view/A777804407,118,3室2厅,西海湾花园  [南山-南山中心区 创业路],74576,118
深圳北站，地铁口，绿景公馆1866，豪装大三房,http://shenzhen.anjuke.com/prop/view/A778526714,88,3室2厅,绿景公馆1866南区  [龙华-民治 民旺路],63181,88
丹竹头地铁旁，怡乐花园，满五有红本，精装两房带电梯,http://shenzhen.anjuke.com/prop/view/A765809089,67,2室2厅,中房怡乐花园  [龙岗-布吉 李朗大道],35820,67
花样年精装两房 户型方正 客厅卧室出阳台,http://shenzhen.anjuke.com/prop/view/A760296954,59,2室1厅,花样年花郡  [宝安-宝安中心区 玉律路],55932,59
龙光城旁 新楼盘荣佳国韵 认筹（1万享开盘98折）可直接认购,http://shenzhen.anjuke.com/prop/view/A777843681,74,2室2厅,龙光城  [惠州-其他 西南大道88号],12702,74
惠州惠阳 临深片区豪华别墅 带精装修 赠大花园大露台,http://shenzhen.anjuke.com/prop/view/A761230879,190,4室3厅,心境山水郡  [惠州-惠阳 广东省惠州市惠阳 淡水惠澳大道旁（淡水河东岸）],11578,190
《皇牌代理》信义御城，满二税少豪装两房，阳台观景，生活配套全,http://shenzhen.anjuke.com/prop/view/A777329340,74,2室2厅,信义御城一期  [龙岗-横岗 龙岗大道],41277,74
南山西丽塘朗 地铁口村委统建房 崇文花园 精装3房带车库急售,http://shenzhen.anjuke.com/prop/view/A764609288,93,3室1厅,崇文花园  [南山-西丽 仙科路],9462,93
嘉霖骏禧，南北通透户型，靠深圳地铁，学区房,http://shenzhen.anjuke.com/prop/view/A765826944,109,4室2厅,"嘉霖骏禧(龙海三路)  [惠州-惠阳 龙海三路,近龙山五路]",9449,109
布吉地铁口 低于市场价 中英文师范实验名校邻家,http://shenzhen.anjuke.com/prop/view/A778118727,86,3室2厅,吉大花园  [龙岗-布吉 中兴路25号],7558,86
别墅区洋房  首付3万    ，98平赠送20平可以做四房，,http://shenzhen.anjuke.com/prop/view/A766606064,95,3室2厅,园洲花园  [惠州-其他 博罗县园洲镇绿化北路102号],6315,95
华策一口特~价单位，送超~值大礼包，送品牌家电，豪华装修,http://shenzhen.anjuke.com/prop/view/A769830922,89,3室2厅,华策中心城  [龙岗-龙岗中心城 怡翠路],38720,89
《皇牌代理》精装修南向3房，海景房，地铁口物业，育才集团学位,http://shenzhen.anjuke.com/prop/view/A774191445,98,2室2厅,南海玫瑰花园二期  [南山-蛇口 望海路],81632,98
新锦安雅园三期 精装2房 满5年 红本无税，带宝安实验学校,http://shenzhen.anjuke.com/prop/view/A770238384,73,2室2厅,新锦安雅园三期  [宝安-宝安中心区 湖滨中路31号 ],51506,73
翰岭院  精装大两房  东南向采光好,http://shenzhen.anjuke.com/prop/view/A781348102,77,2室2厅,翰岭院  [福田-梅林 彩田北路7024号],65098,77
《热门》海恋家 临近沃尔玛 首付1成5万两房 来电即享98折,http://shenzhen.anjuke.com/prop/view/A774950563,69,2室2厅,海恋家  [惠州-惠城 大涌路8号],9855,69
星河智荟 地铁口 不限购不限贷 精装户户双阳台,http://shenzhen.anjuke.com/prop/view/A773670342,48,2室1厅,星河智荟  [龙岗-横岗 龙岗大道],40625,48
罗湖口岸。宜居两房业主诚心出售，满两年。少量欠款，交通配套好,http://shenzhen.anjuke.com/prop/view/A727685383,32,1室1厅,庐山花园  [罗湖-人民南 春风路],39714,32
首付80万的精装三房，买到挣到，恒大国香山新出笋盘,http://shenzhen.anjuke.com/prop/view/A776279125,88,3室2厅,恒大帝景  [龙岗-布吉 丹沙路],40909,88
首付10万月供3000，绿本在手，可更名过户，买到就是赚到！,http://shenzhen.anjuke.com/prop/view/A763692907,80,3室2厅,吉大花园  [龙岗-布吉 中兴路25号],12000,80
厅出大露台，福外中小学随时可用，可拎包入住！,http://shenzhen.anjuke.com/prop/view/A777515311,71,2室2厅,香雅园  [福田-香蜜湖 四号路5号],105633,71
佳兆业前海广场 中空复式公寓 不限购不限贷 免 佣,http://shenzhen.anjuke.com/prop/view/A776150407,51,1室1厅,佳兆业前海广场  [南山-前海 前海路9号],72549,51
东莞市区不限购不限贷 首付10万起买地铁口精装修新房 价可谈,http://shenzhen.anjuke.com/prop/view/A770168921,60,2室2厅,盈翠曦园  [东莞-其他 石碣政文路与石单路交汇处],10833,60
（汉京九榕台）本人现场销售经理 来电可享受团购折后价免拥代理,http://shenzhen.anjuke.com/prop/view/A779465806,520,6室2厅,汉京九榕台  [南山-前海 观山道1号],173076,520
现代城华庭正规大两房精装 带学府学位 来福士旁满五税费低,http://shenzhen.anjuke.com/prop/view/A779192626,70,2室2厅,现代城华庭  [南山-南山中心区 创业路28号],55986,70
畔山花园 400万元中等装修 位置采光非常棒！实景照,http://shenzhen.anjuke.com/prop/view/A777772399,87,3室2厅,畔山花园  [罗湖-莲塘 罗沙路2098号],45977,87
地铁口物业出售东方明珠城2房二厅一卫,http://shenzhen.anjuke.com/prop/view/A782048579,67,2室2厅,东方明珠城  [龙岗-龙岗中心城 龙河路],32835,67
天健时尚 地铁口 景秀中小学 性价比高 税费低,http://shenzhen.anjuke.com/prop/view/A777772669,40,1室1厅,天健时尚新天地  [福田-景田 景田路],65000,40
中海阳光玫瑰园，繁华商圈，安静看花园，正规三房两卫，税费低,http://shenzhen.anjuke.com/prop/view/A782195751,81,3室2厅,阳光玫瑰园  [南山-前海 前海路],70370,81
东风广场 zui笋一套小三房 安静望花园 税费少 秒杀盘,http://guangzhou.anjuke.com/prop/view/A757420612,91,3室1厅,东风广场  [越秀-东风东 东风东路787号],67032,91
我的房子不一定是的但我是我更用心为您寻找适合你的居住,http://guangzhou.anjuke.com/prop/view/A752912662,285,5室2厅,丽江花园王台别墅  [番禺-南浦 南浦岛],45614,285
海伦堡两房至笋，没有比这更值得房子,http://guangzhou.anjuke.com/prop/view/A745220104,83,2室2厅,海伦堡花园  [增城-新塘 海伦堡大道2号],12048,83
万众期待 陶然南向南向两房值得收藏 抢到就赚到,http://guangzhou.anjuke.com/prop/view/A777519087,74,2室2厅,陶然庭苑  [天河-天河公园 华景北路255号],54054,74
海龙弯二期 2房 东南向 精装修  业主急售195万,http://guangzhou.anjuke.com/prop/view/A775202295,84,2室2厅,海龙湾  [番禺-南浦 新浦南路],23104,84
《诚信裕馨》地铁物业，低层笋盘，紧缺房源，手快有手慢无！,http://guangzhou.anjuke.com/prop/view/A758447625,103,3室2厅,美雅苑  [花都-新区 宝华路6号],13106,103
滨江东 豪装三房 一线江景 户型方正 给你一个安静舒适的家,http://guangzhou.anjuke.com/prop/view/A769709648,147,3室2厅,珠江广场  [海珠-滨江东 滨江东路835号],51700,147
保利天悦 5栋 8栋 284 356 大平层 一手交易,http://guangzhou.anjuke.com/prop/view/A778468238,356,4室2厅,保利天悦  [海珠-琶洲 琶洲村新马路],72752,356
四号地铁金州！业主因两房换三房，诚心出售精装两房，看房有钥匙,http://guangzhou.anjuke.com/prop/view/A777075272,70,2室2厅,南沙碧桂园  [南沙-南沙 进港大道130-180号],11428,70
方圆云山诗意 名校教育一站式 精装小3房 实现小三口家庭 免,http://guangzhou.anjuke.com/prop/view/A768643382,88,3室2厅,方圆云山诗意(增城)  [增城-荔城 荔城大道],16250,88
"没有华丽虚假的广告词,只有真实有效房源信信息以稀为贵黄埔花园",http://guangzhou.anjuke.com/prop/view/A767808620,117,3室2厅,黄埔花园  [黄埔-黄埔区府 丰乐南路438号],37606,117
逸景翠园 居家实用三房 南北通透对流 方正实用！居家自住！,http://guangzhou.anjuke.com/prop/view/A761492924,101,3室2厅,逸景翠园  [海珠-广州大道南 广州大道南1028号],37227,101
中高楼层，精装修，全新没住过，南北对流，户型方正，景观非常好,http://guangzhou.anjuke.com/prop/view/A743790284,108,3室2厅,广晟海韵星洲  [南沙-南沙 海滨路],13425,108
业主急售 大两房 精装修 南北向 带学位 有匙随时看房,http://guangzhou.anjuke.com/prop/view/A779363191,65,2室1厅,建设四马路小区  [越秀-建设路 建设四马路],30000,65
碧桂园琥珀湾 带装修 南向望东江 北向望花园,http://guangzhou.anjuke.com/prop/view/A775400527,88,3室2厅,三江盛汇  [增城-荔城 光明西路100号],10227,88
三水万达广场  温馨小户型  带精装修  欢迎咨询,http://guangzhou.anjuke.com/prop/view/A770774395,58,2室1厅,三水万达广场  [广州周边-广州周边 南丰大道与翠云路交界处],6896,58
天河公园华景新城华景六期133个平方电梯南向四房 精装修,http://guangzhou.anjuke.com/prop/view/A762824413,133,4室2厅,华景新城六期  [天河-天河公园 华景路],47218,133
笋盘急售 满5，免税  有意者电联 价格可谈,http://guangzhou.anjuke.com/prop/view/A758055583,89,3室2厅,富力半岛花园  [白云-罗冲围 增槎路43号],20000,89
星汇海珠湾 双钥匙管理 买一层送一层 可分上下两层出租,http://guangzhou.anjuke.com/prop/view/A757006285,37,2室2厅,星汇海珠湾(广纸路40号)  [海珠-工业大道北 广纸路40号],39189,37
新华城 小区自带5星酒店，均价7千，奢华生活从这里开始。,http://guangzhou.anjuke.com/prop/view/A737680261,141,4室2厅,"龙江中心(龙江文华路)  [广州周边-广州周边 龙江文华路,近莲十线]",11971,141
中海蓝湾 极少放卖 129方3房328万 电梯中层 主套带卫,http://guangzhou.anjuke.com/prop/view/A781194937,129,3室2厅,中海蓝湾  [番禺-洛溪 如意路128号],25426,129
